290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15
277.18 283.597 286.181 287.427 288.129 288.576 288.888 289.12 289.3 289.446 289.568 289.673 289.765 289.847 289.923 289.994 290.062 290.13 290.198 290.268 290.342 290.421 290.508 290.604 290.711 290.831 290.968 291.123 291.301 291.505 291.74 292.01 292.321 292.679 293.09 293.561 294.1 294.713 295.405 296.179 297.032 297.954 298.925 299.909 300.854 301.689 302.334 302.708 302.75 302.441 301.808 300.917 299.846 298.671 297.451 296.223 295.007 293.798 292.572 291.269 289.763 287.753 284.433 277.296
276.804 280.877 283.551 285.247 286.364 287.139 287.706 288.14 288.485 288.767 289.005 289.209 289.39 289.552 289.701 289.841 289.977 290.11 290.245 290.384 290.53 290.688 290.859 291.049 291.26 291.499 291.769 292.077 292.43 292.834 293.299 293.834 294.45 295.158 295.974 296.91 297.981 299.202 300.584 302.134 303.85 305.716 307.693 309.714 311.672 313.424 314.794 315.602 315.706 315.06 313.73 311.868 309.651 307.241 304.762 302.289 299.859 297.467 295.074 292.594 289.879 286.667 282.534 277.033
276.621 279.555 281.899 283.647 284.939 285.91 286.658 287.251 287.733 288.134 288.475 288.771 289.034 289.271 289.49 289.696 289.895 290.091 290.29 290.495 290.711 290.943 291.196 291.476 291.788 292.14 292.538 292.993 293.513 294.109 294.795 295.584 296.493 297.54 298.746 300.132 301.722 303.539 305.604 307.933 310.529 313.376 316.428 319.59 322.708 325.553 327.828 329.208 329.424 328.373 326.195 323.182 319.656 315.89 312.073 308.32 304.678 301.142 297.665 294.159 290.496 286.503 282.003 276.96
276.52 278.825 280.843 282.504 283.837 284.904 285.766 286.473 287.062 287.562 287.992 288.369 288.705 289.01 289.293 289.561 289.819 290.074 290.333 290.6 290.881 291.184 291.513 291.877 292.284 292.742 293.261 293.852 294.529 295.305 296.198 297.226 298.41 299.776 301.351 303.165 305.251 307.644 310.377 313.48 316.971 320.848 325.068 329.528 334.033 338.266 341.771 343.996 344.423 342.827 339.507 335.022 329.916 324.599 319.332 314.25 309.4 304.766 300.291 295.887 291.445 286.85 282.017 276.962
276.459 278.38 280.146 281.688 283 284.103 285.031 285.815 286.483 287.06 287.564 288.009 288.41 288.775 289.115 289.438 289.75 290.059 290.372 290.696 291.037 291.404 291.803 292.245 292.737 293.292 293.921 294.638 295.458 296.398 297.48 298.726 300.162 301.82 303.734 305.943 308.491 311.426 314.799 318.659 323.05 327.997 333.489 339.442 345.652 351.727 357.016 360.6 361.465 359.023 354.003 347.5 340.402 333.274 326.419 319.961 313.916 308.241 302.855 297.66 292.553 287.439 282.254 276.995
276.419 278.092 279.671 281.104 282.373 283.48 284.44 285.272 285.998 286.633 287.195 287.698 288.152 288.57 288.959 289.33 289.69 290.046 290.408 290.782 291.176 291.599 292.061 292.571 293.14 293.781 294.507 295.335 296.281 297.366 298.615 300.053 301.712 303.628 305.843 308.405 311.368 314.795 318.757 323.331 328.596 334.627 341.473 349.123 357.432 366 373.99 379.946 381.838 377.82 370.006 360.594 350.936 341.696 333.127 325.273 318.078 311.439 305.238 299.354 293.675 288.103 282.569 277.038
276.392 277.898 279.342 280.686 281.908 283.004 283.977 284.84 285.604 286.283 286.89 287.437 287.936 288.396 288.827 289.238 289.638 290.035 290.438 290.855 291.295 291.767 292.282 292.851 293.485 294.199 295.008 295.929 296.983 298.191 299.58 301.18 303.027 305.161 307.63 310.489 313.805 317.655 322.131 327.339 333.405 340.47 348.683 358.174 368.981 380.879 393.026 403.386 408.147 400.439 387.631 373.957 361.077 349.467 339.138 329.945 321.699 314.213 307.315 300.853 294.696 288.734 282.883 277.082
276.374 277.766 279.115 280.389 281.571 282.651 283.628 284.507 285.296 286.006 286.647 287.228 287.761 288.255 288.72 289.164 289.596 290.026 290.463 290.915 291.391 291.903 292.462 293.078 293.765 294.538 295.414 296.41 297.549 298.855 300.356 302.085 304.08 306.385 309.053 312.146 315.738 319.921 324.803 330.522 337.248 345.197 354.647 365.942 379.472 395.542 413.882 432.454 446.957 428.187 406.15 386.554 369.974 355.98 344.037 333.69 324.578 316.414 308.969 302.058 295.53 289.26 283.15 277.119
276.361 277.678 278.962 280.187 281.337 282.401 283.377 284.265 285.071 285.802 286.466 287.072 287.63 288.149 288.638 289.107 289.564 290.019 290.481 290.959 291.464 292.006 292.597 293.248 293.975 294.792 295.717 296.769 297.971 299.348 300.929 302.75 304.849 307.274 310.08 313.333 317.113 321.519 326.673 332.731 339.901 348.46 358.802 371.509 387.46 407.969 434.542 465.625 474.76 459.235 422.259 396.163 376.313 360.467 347.363 336.223 326.528 317.912 310.103 302.893 296.114 289.633 283.341 277.145
276.354 277.624 278.867 280.06 281.189 282.242 283.216 284.109 284.924 285.667 286.346 286.968 287.542 288.078 288.583 289.069 289.542 290.014 290.492 290.988 291.511 292.073 292.685 293.36 294.112 294.957 295.913 296.999 298.24 299.66 301.289 303.163 305.321 307.812 310.691 314.025 317.896 322.403 327.673 333.867 341.201 349.976 360.632 373.869 390.926 414.369 450.728 476.467 482.947 467.454 427.521 399.556 378.68 362.238 348.75 337.333 327.42 318.621 310.656 303.308 296.409 289.824 283.44 277.159
276.35 277.599 278.821 279.999 281.117 282.165 283.137 284.031 284.851 285.6 286.286 286.916 287.498 288.042 288.556 289.049 289.53 290.01 290.497 291.001 291.533 292.104 292.725 293.41 294.173 295.03 295.998 297.098 298.353 299.787 301.431 303.32 305.491 307.993 310.879 314.215 318.077 322.561 327.785 333.899 341.099 349.649 359.919 372.448 388.046 407.893 433.261 462.292 468.828 455.837 420.85 395.894 376.642 361.084 348.093 336.963 327.218 318.517 310.605 303.286 296.401 289.822 283.439 277.159
276.35 277.599 278.821 279.999 281.117 282.165 283.137 284.031 284.851 285.6 286.286 286.915 287.498 288.041 288.555 289.047 289.529 290.008 290.494 290.997 291.528 292.097 292.717 293.399 294.159 295.011 295.974 297.066 298.31 299.731 301.357 303.221 305.362 307.822 310.652 313.912 317.672 322.016 327.045 332.885 339.687 347.642 356.987 368 380.956 395.934 412.171 426.335 429.962 421.94 404.182 386.559 370.941 357.392 345.601 335.234 325.994 317.642 309.979 302.843 296.098 289.629 283.341 277.145
276.354 277.624 278.867 280.06 281.189 282.242 283.216 284.108 284.923 285.667 286.345 286.967 287.541 288.076 288.581 289.065 289.537 290.007 290.484 290.977 291.497 292.054 292.66 293.328 294.07 294.901 295.84 296.904 298.114 299.494 301.072 302.876 304.943 307.312 310.028 313.143 316.718 320.822 325.534 330.946 337.159 344.285 352.427 361.647 371.883 382.754 393.194 400.954 402.783 397.815 387.413 375.252 363.204 351.969 341.715 332.399 323.906 316.097 308.843 302.022 295.527 289.264 283.153 277.119
276.361 277.678 278.961 280.187 281.337 282.401 283.377 284.265 285.07 285.801 286.464 287.07 287.627 288.146 288.634 289.101 289.557 290.009 290.468 290.942 291.442 291.977 292.558 293.197 293.908 294.704 295.602 296.618 297.772 299.086 300.586 302.297 304.252 306.485 309.036 311.948 315.27 319.055 323.359 328.242 333.759 339.951 346.827 354.319 362.215 370.046 376.933 381.543 382.436 379.16 372.435 363.866 354.685 345.592 336.915 328.768 321.152 314.017 307.289 300.888 294.734 288.756 282.89 277.083
276.374 277.766 279.115 280.389 281.571 282.65 283.627 284.506 285.295 286.005 286.645 287.226 287.758 288.251 288.714 289.156 289.587 290.014 290.446 290.892 291.362 291.865 292.411 293.012 293.679 294.425 295.265 296.215 297.293 298.518 299.913 301.502 303.311 305.372 307.715 310.377 313.393 316.803 320.642 324.941 329.72 334.972 340.648 346.623 352.652 358.316 362.989 365.883 366.292 363.987 359.335 353.124 346.107 338.828 331.612 324.627 317.939 311.549 305.425 299.518 293.774 288.141 282.574 277.039
276.392 277.898 279.342 280.686 281.908 283.003 283.976 284.839 285.602 286.281 286.887 287.434 287.932 288.391 288.82 289.23 289.627 290.021 290.419 290.829 291.261 291.723 292.224 292.775 293.386 294.069 294.837 295.704 296.687 297.803 299.071 300.511 302.147 304.003 306.105 308.48 311.155 314.154 317.497 321.195 325.241 329.603 334.205 338.908 343.488 347.614 350.857 352.744 352.896 351.193 347.826 343.215 337.82 332.025 326.101 320.213 314.446 308.83 303.357 297.997 292.712 287.465 282.229 276.991
276.419 278.092 279.671 281.104 282.372 283.479 284.439 285.271 285.996 286.632 287.193 287.695 288.148 288.564 288.952 289.321 289.678 290.031 290.387 290.755 291.14 291.553 292 292.491 293.035 293.643 294.326 295.097 295.969 296.957 298.078 299.348 300.787 302.414 304.25 306.313 308.622 311.191 314.029 317.132 320.48 324.027 327.693 331.35 334.81 337.828 340.112 341.371 341.387 340.092 337.589 334.117 329.958 325.376 320.576 315.697 310.821 305.985 301.19 296.413 291.621 286.785 281.888 276.944
276.459 278.38 280.145 281.688 283 284.103 285.03 285.814 286.482 287.058 287.561 288.006 288.406 288.77 289.109 289.429 289.738 290.044 290.352 290.669 291.002 291.358 291.743 292.166 292.634 293.157 293.744 294.405 295.152 295.998 296.955 298.038 299.261 300.641 302.19 303.924 305.854 307.987 310.323 312.851 315.547 318.361 321.221 324.017 326.604 328.804 330.42 331.268 331.217 330.224 328.348 325.728 322.543 318.967 315.148 311.195 307.173 303.114 299.015 294.851 290.583 286.17 281.598 276.904
276.52 278.825 280.843 282.503 283.836 284.903 285.766 286.472 287.061 287.56 287.99 288.366 288.701 289.006 289.287 289.552 289.808 290.06 290.314 290.576 290.85 291.142 291.459 291.806 292.19 292.619 293.1 293.641 294.253 294.943 295.724 296.605 297.599 298.716 299.968 301.362 302.907 304.603 306.448 308.429 310.519 312.676 314.837 316.918 318.811 320.389 321.521 322.089 322.012 321.262 319.872 317.927 315.538 312.819 309.872 306.776 303.577 300.294 296.915 293.403 289.696 285.72 281.431 276.881
276.621 279.555 281.899 283.647 284.939 285.909 286.658 287.25 287.732 288.133 288.473 288.769 289.031 289.267 289.484 289.689 289.886 290.08 290.275 290.475 290.685 290.909 291.152 291.417 291.711 292.039 292.406 292.82 293.286 293.812 294.406 295.076 295.829 296.675 297.619 298.668 299.825 301.09 302.458 303.917 305.444 307.006 308.555 310.029 311.352 312.44 313.206 313.576 313.499 312.957 311.97 310.588 308.878 306.913 304.761 302.472 300.076 297.579 294.958 292.158 289.081 285.587 281.528 276.894
276.804 280.877 283.551 285.247 286.363 287.139 287.706 288.14 288.484 288.766 289.004 289.208 289.387 289.549 289.697 289.837 289.97 290.102 290.234 290.37 290.512 290.663 290.827 291.007 291.206 291.427 291.675 291.954 292.269 292.623 293.023 293.474 293.98 294.547 295.179 295.879 296.649 297.488 298.392 299.351 300.35 301.365 302.364 303.307 304.146 304.828 305.303 305.525 305.465 305.113 304.478 303.589 302.484 301.207 299.798 298.285 296.685 294.995 293.187 291.194 288.887 286.023 282.199 276.987
277.18 283.597 286.181 287.427 288.129 288.576 288.888 289.119 289.3 289.446 289.568 289.672 289.764 289.846 289.921 289.991 290.059 290.125 290.192 290.261 290.332 290.409 290.492 290.582 290.682 290.794 290.919 291.059 291.218 291.396 291.597 291.824 292.078 292.362 292.679 293.029 293.414 293.832 294.282 294.757 295.25 295.75 296.239 296.699 297.106 297.435 297.662 297.767 297.734 297.56 297.249 296.814 296.271 295.642 294.944 294.191 293.389 292.534 291.605 290.55 289.252 287.421 284.261 277.272
290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15 290.15
