2025-12-02 15:48:32,21.1 °C
2025-12-02 15:58:37,21.1 °C
2025-12-02 16:03:41,21.1 °C
2025-12-02 16:18:48,20.9 °C
2025-12-02 16:28:53,20.9 °C
2025-12-02 16:38:59,20.8 °C
2025-12-02 16:49:04,20.8 °C
2025-12-02 16:59:09,20.8 °C
2025-12-02 17:04:13,20.8 °C
2025-12-02 17:19:20,20.8 °C
2025-12-02 17:29:25,20.8 °C
2025-12-02 17:39:31,20.7 °C
2025-12-02 17:49:36,20.7 °C
2025-12-02 17:54:39,20.7 °C
2025-12-02 18:09:47,20.6 °C
2025-12-02 18:19:52,20.5 °C
2025-12-02 18:29:58,20.5 °C
2025-12-02 18:40:03,20.4 °C
2025-12-02 18:50:08,20.4 °C
2025-12-02 19:00:14,20.3 °C
2025-12-02 19:10:18,20.2 °C
2025-12-02 19:20:24,20.1 °C
2025-12-02 19:30:29,20.1 °C
2025-12-02 19:40:34,20 °C
2025-12-02 19:50:40,19.9 °C
2025-12-02 20:00:46,19.9 °C
2025-12-02 20:10:51,19.9 °C
2025-12-02 20:20:57,19.9 °C
2025-12-02 20:31:03,19.8 °C
2025-12-02 20:41:09,19.8 °C
2025-12-02 20:51:13,19.8 °C
2025-12-02 21:01:18,19.8 °C
2025-12-02 21:11:24,19.7 °C
2025-12-02 21:21:29,19.7 °C
2025-12-02 21:31:36,20 °C
2025-12-02 21:41:40,20.5 °C
2025-12-02 21:51:45,20.8 °C
2025-12-02 22:01:50,21.1 °C
2025-12-02 22:11:56,21.3 °C
2025-12-02 22:22:00,21.5 °C
2025-12-02 22:27:04,21.6 °C
2025-12-02 22:42:11,21.9 °C
2025-12-02 22:52:17,22 °C
2025-12-02 23:02:23,22.1 °C
2025-12-02 23:12:27,22.2 °C
2025-12-02 23:22:33,22.3 °C
2025-12-02 23:32:38,22.4 °C
2025-12-02 23:42:43,22.5 °C
2025-12-02 23:52:48,22.5 °C
2025-12-03 00:02:54,22.3 °C
2025-12-03 00:12:59,21.8 °C
2025-12-03 00:23:04,21.3 °C
2025-12-03 00:33:09,20.9 °C
2025-12-03 00:43:14,20.6 °C
2025-12-03 00:53:20,20.4 °C
2025-12-03 01:03:25,20.2 °C
2025-12-03 01:13:30,20 °C
2025-12-03 01:23:36,19.8 °C
2025-12-03 01:33:41,19.8 °C
2025-12-03 01:43:46,19.7 °C
2025-12-03 01:53:51,19.6 °C
2025-12-03 02:03:56,19.5 °C
2025-12-03 02:14:01,19.4 °C
2025-12-03 02:24:07,19.3 °C
2025-12-03 02:34:12,19.3 °C
2025-12-03 02:44:18,19.2 °C
2025-12-03 02:54:24,19 °C
